product_category_main,total_revenue,order_count,avg_order_value,avg_review_score,on_time_rate
agro_industry_and_commerce,76208.42,177,430.56,4.11,0.96
air_conditioning,60125.69,246,244.41,4.12,0.96
art,27646.7,194,142.51,4.11,0.94
arts_and_craftmanship,2241.54,23,97.46,4.17,0.96
audio,57946.76,348,166.51,3.84,0.88
auto,671719.35,3804,176.58,4.15,0.93
baby,473907.38,2794,169.62,4.11,0.92
bed_bath_table,1241203.08,9239,134.34,4.0,0.93
books_general_interest,54376.96,495,109.85,4.53,0.93
books_imported,5182.65,50,103.65,4.44,0.96
books_technical,23149.85,256,90.43,4.43,0.92
cds_dvds_musicals,954.99,12,79.58,4.67,1.0
christmas_supplies,11950.02,125,95.6,4.11,0.92
cine_photo,8135.33,63,129.13,4.33,0.94
computers,226944.65,176,1289.46,4.24,0.94
computers_accessories,1037148.01,6520,159.07,4.08,0.94
consoles_games,167582.9,1016,164.94,4.18,0.94
construction_tools_construction,163966.98,731,224.31,4.14,0.93
construction_tools_garden,30720.61,187,164.28,4.28,0.95
construction_tools_lights,50036.44,236,212.02,4.18,0.93
construction_tools_safety,43149.35,155,278.38,4.0,0.97
construction_tools_tools,17934.17,97,184.89,4.43,0.94
cool_stuff,688757.24,3516,195.89,4.23,0.94
diapers_and_hygiene,2046.19,25,81.85,3.96,1.0
drinks,27595.75,285,96.83,4.25,0.95
dvds_blu_ray,5777.96,55,105.05,4.18,0.93
electronics,202444.19,2509,80.69,4.13,0.92
fashion_bags_accessories,180514.75,1816,99.4,4.24,0.94
fashion_childrens_clothes,502.11,5,100.42,5.0,1.0
fashion_female_clothing,3302.39,36,91.73,3.92,0.94
fashion_male_clothing,12514.94,106,118.07,3.82,0.95
fashion_shoes,27715.88,233,118.95,4.28,0.95
fashion_sport,2503.33,24,104.31,4.54,0.96
fashion_underwear_beach,11160.02,117,95.38,4.01,0.91
fixed_telephony,59924.99,212,282.67,3.97,0.95
flowers,1491.82,27,55.25,4.54,0.96
food,35613.4,436,81.68,4.32,0.93
food_drink,19530.63,220,88.78,4.44,0.96
furniture_bedroom,23028.6,88,261.69,4.26,0.93
furniture_decor,884646.29,6208,142.5,4.07,0.93
furniture_living_room,83864.24,403,208.1,4.11,0.92
furniture_mattress_and_upholstery,5904.75,37,159.59,3.89,0.86
garden_tools,566463.25,3411,166.07,4.19,0.93
health_beauty,1413962.84,8621,164.03,4.23,0.92
home_appliances,93313.46,747,124.92,4.21,0.96
home_appliances_2,118008.4,226,522.16,4.16,0.94
home_comfort_2,1254.38,23,54.54,3.95,0.87
home_confort,61224.91,346,176.95,3.95,0.9
home_construction,91672.09,460,199.29,4.09,0.94
housewares,754917.89,5670,133.14,4.21,0.95
industry_commerce_and_business,45771.0,229,199.87,4.24,0.93
kitchen_dining_laundry_garden_furniture,56722.59,236,240.35,4.13,0.95
la_cuisine,2216.62,11,201.51,4.55,1.0
luggage_accessories,168410.05,1011,166.58,4.38,0.96
market_place,32356.05,264,122.56,4.13,0.96
music,6825.92,37,184.48,4.3,0.95
musical_instruments,202032.91,606,333.39,4.24,0.92
office_furniture,333916.11,1244,268.42,3.66,0.92
party_supplies,5192.19,37,140.33,4.08,1.0
perfumery,443016.18,3069,144.35,4.26,0.93
pet_shop,250686.33,1679,149.31,4.28,0.95
security_and_services,324.51,2,162.26,2.5,1.0
signaling_and_security,27695.36,137,202.16,4.14,0.96
small_appliances,196709.02,604,325.68,4.27,0.95
small_appliances_home_oven_and_coffee,49268.75,72,684.29,4.43,0.94
sports_leisure,1115692.71,7478,149.2,4.24,0.93
stationery,268385.99,2240,119.82,4.31,0.93
tablets_printing_image,8494.02,76,111.76,4.16,0.95
telephony,378264.8,4071,92.92,4.06,0.93
toys,542567.17,3759,144.34,4.25,0.94
uncategorised,198094.42,1355,146.2,4.05,0.93
watches_gifts,1257930.55,5455,230.6,4.13,0.93
