order_id,customer_unique_id,customer_state,customer_city,purchase_date,purchase_month,purchase_year,purchase_month_num,purchase_weekday,purchase_hour,order_item_count,total_items_price,total_freight,total_order_value,total_payment,primary_payment_type,max_installments,product_category_main,review_score,actual_delivery_days,delivery_delay_days,is_on_time,seller_state
00010242fe8c5a6d1ba2dd792cb16214,871766c5855e863f6eccc05f988b23cb,RJ,campos dos goytacazes,2017-09-13 08:59:02,2017-09,2017,9,Wednesday,8,1.0,58.9,13.29,72.19,72.19,credit_card,2.0,cool_stuff,5.0,7.0,-9.0,True,SP
000229ec398224ef6ca0657da4fc703e,3818d81c6709e39d06b2738a8d3a2474,MG,para de minas,2018-01-14 14:33:31,2018-01,2018,1,Sunday,14,1.0,199.0,17.87,216.87,216.87,credit_card,5.0,furniture_decor,5.0,7.0,-14.0,True,MG
0005f50442cb953dcd1d21e1fb923495,0782c41380992a5a533489063df0eef6,SP,jandira,2018-07-02 13:59:39,2018-07,2018,7,Monday,13,1.0,53.99,11.4,65.39,65.39,credit_card,1.0,books_technical,4.0,2.0,-19.0,True,SP
0009c9a17f916a706d71784483a5d643,6062db572f3ef38b7a8ff4307abbfad3,SP,campinas,2018-04-25 09:10:41,2018-04,2018,4,Wednesday,9,1.0,639.0,11.34,650.34,650.34,credit_card,6.0,consoles_games,4.0,5.0,-9.0,True,SP
000c3e6612759851cc3cbb4b83257986,f5f088001070650f9e9a8cd773621f35,SP,jundiai,2017-08-12 10:08:57,2017-08,2017,8,Saturday,10,1.0,99.0,13.71,112.71,112.71,boleto,1.0,sports_leisure,5.0,7.0,-13.0,True,SP
000e906b789b55f64edcb1f84030f90d,3588484a539617d91500764822230fb6,SP,santa cruz do rio pardo,2017-11-21 18:54:23,2017-11,2017,11,Tuesday,18,1.0,21.99,11.85,33.839999999999996,33.84,credit_card,3.0,telephony,3.0,17.0,2.0,False,SP
00125cb692d04887809806618a2a145f,7ac26eac431c6848694a2de6f0327524,GO,anapolis,2017-03-23 12:21:17,2017-03,2017,3,Thursday,12,1.0,109.9,25.51,135.41,135.41,credit_card,1.0,furniture_decor,5.0,15.0,-13.0,True,SP
00137e170939bba5a3134e2386413108,38c3bc2d6df03905e3e8d3d5b079acf4,RJ,rio de janeiro,2017-11-24 16:50:38,2017-11,2017,11,Friday,16,1.0,397.0,24.65,421.65,421.65,boleto,1.0,agro_industry_and_commerce,4.0,17.0,-7.0,True,PR
001862358bf858722e1e2ae000cfed8b,eb2568a7ba9b2ca9bf1f818a8dea82ce,SP,cunha,2018-02-06 19:11:57,2018-02,2018,2,Tuesday,19,1.0,99.99,13.72,113.71,113.71,credit_card,2.0,cool_stuff,5.0,9.0,-15.0,True,SP
001c85b5f68d2be0cb0797afc9e8ce9a,55a269f324455e78349e7b9b7e7e5911,SP,sao paulo,2017-11-24 19:19:18,2017-11,2017,11,Friday,19,1.0,99.0,13.71,112.71,112.71,credit_card,4.0,bed_bath_table,2.0,27.0,8.0,False,SP
001dbc16dc51075e987543d23a0507c7,c6f624cf0e9908fe310d59a80350bea0,MG,santos dumont,2017-01-28 13:17:57,2017-01,2017,1,Saturday,13,1.0,69.9,18.0,87.9,87.9,credit_card,1.0,bed_bath_table,5.0,15.0,-35.0,True,SP
002175704e8b209f61b9ad5cfd92b60e,e7d41c19da317af0612170197303d5a9,SP,araraquara,2018-04-22 12:13:25,2018-04,2018,4,Sunday,12,1.0,109.9,13.21,123.11,123.11,credit_card,3.0,audio,4.0,10.0,-12.0,True,SP
002f16b7bc4530031b7d90f791b12d8a,eb859d4b5ab54b643d2c0cedaca0c9fb,SP,sao paulo,2018-07-02 16:51:47,2018-07,2018,7,Monday,16,1.0,249.9,34.23,284.13,284.13,debit_card,1.0,furniture_decor,5.0,4.0,-19.0,True,PR
00324b3eda39ba5ecce3945823e3594c,137b3b977306da3cbeb1b552378f08e2,PR,toledo,2018-04-10 01:14:18,2018-04,2018,4,Tuesday,1,1.0,76.0,34.07,110.07,110.07,boleto,1.0,industry_commerce_and_business,5.0,23.0,3.0,False,SP
0032d07457ae9c806c79368d7d9ce96b,98e71752819916789567071c52c4239e,RJ,rio de janeiro,2018-03-10 18:53:06,2018-03,2018,3,Saturday,18,1.0,159.0,27.19,186.19,186.19,credit_card,2.0,housewares,1.0,50.0,12.0,False,SP
003d0634280ff3d1d3a54459349a6899,2fe9477037604b2d6f60ffc998eb0812,SP,barueri,2018-03-17 17:50:30,2018-03,2018,3,Saturday,17,1.0,220.0,8.89,228.89,228.89,credit_card,1.0,computers_accessories,3.0,10.0,-2.0,True,SP
0045e3085f083f0f38d24bb3f22e6593,5eb8cc30e45a67bdb05240e7e735967d,SP,sao jose dos campos,2017-08-10 16:13:36,2017-08,2017,8,Thursday,16,1.0,116.9,13.84,130.74,130.74,credit_card,3.0,health_beauty,5.0,19.0,-1.0,True,SP
004ca5ae248069d68e8594df8abf6ce0,7af7a47d87d53e6db00e70790bba0370,PA,belem,2018-06-06 18:30:20,2018-06,2018,6,Wednesday,18,1.0,159.9,61.18,221.08,221.08,credit_card,4.0,perfumery,5.0,9.0,-41.0,True,RJ
004eab0fd8f28adaf8d488976f77febe,5b861df2503dbc8ca307dfb7e18b300b,RJ,rio de janeiro,2017-08-02 15:32:46,2017-08,2017,8,Wednesday,15,1.0,21.5,11.98,33.480000000000004,33.48,credit_card,1.0,sports_leisure,5.0,1.0,-12.0,True,RJ
004f5d8f238e8908e6864b874eda3391,17726716a98c98a7806b43a789820245,MS,corumba,2018-02-27 12:16:30,2018-02,2018,2,Tuesday,12,1.0,122.99,15.61,138.6,138.6,boleto,1.0,uncategorised,3.0,23.0,2.0,False,SP
00526a9d4ebde463baee25f386963ddc,7e59d854b9bb4cbb2c85fcd93877c694,SP,ferraz de vasconcelos,2018-08-07 22:03:44,2018-08,2018,8,Tuesday,22,4.0,135.56,33.6,169.16,169.16,credit_card,3.0,food,1.0,8.0,1.0,False,SP
0057199db02d1a5ef41bacbf41f8f63b,9a5b186787a143669398bd8083720c21,MT,sinop,2018-01-18 17:05:30,2018-01,2018,1,Thursday,17,1.0,20.3,16.79,37.09,37.09,boleto,1.0,uncategorised,4.0,19.0,-14.0,True,SP
00588f5f20fee630b83d4709e0a42715,0b9779c6ddf61db3641edd60f13be109,PA,ipixuna do para,2017-08-18 16:02:24,2017-08,2017,8,Friday,16,1.0,89.0,25.9,114.9,114.9,credit_card,4.0,telephony,1.0,12.0,-30.0,True,SP
005a1dded353107dbabf8ffc83a20365,eac51d2355307babc49fe52bc8b7d336,MG,sete lagoas,2018-02-09 18:00:00,2018-02,2018,2,Friday,18,1.0,75.0,14.28,89.28,89.28,credit_card,8.0,watches_gifts,5.0,21.0,-5.0,True,SP
00611822267e76e0055c25c18506f06e,c0d9dda253199c2d4d3a2a255b77e517,GO,goiania,2018-07-26 13:35:01,2018-07,2018,7,Thursday,13,1.0,159.9,20.31,180.21,180.21,credit_card,3.0,toys,4.0,5.0,-20.0,True,SP
0064d74f7de7917d54768d7722ad56ac,f793d2815c27a46dafc9c92a1c960103,RJ,niteroi,2017-09-10 21:45:29,2017-09,2017,9,Sunday,21,1.0,189.9,31.17,221.07,221.07,credit_card,4.0,cool_stuff,5.0,3.0,-14.0,True,SP
00664284de7a3470d22931ed78615ee4,8a996e32e8d729f4f10947fb34bf5763,SP,sao paulo,2017-09-24 13:12:59,2017-09,2017,9,Sunday,13,1.0,43.9,11.85,55.75,55.75,credit_card,2.0,kitchen_dining_laundry_garden_furniture,4.0,9.0,-14.0,True,SP
0066a1fdaee16ad5022c5ef979d0b661,08b76bd6862f5b38fafcb80a4eac3bee,RJ,nilopolis,2018-06-10 19:52:27,2018-06,2018,6,Sunday,19,1.0,139.0,87.28,226.28,226.28,credit_card,9.0,baby,5.0,5.0,-30.0,True,PR
0068e836900867da359bd81db9227a33,f765c27dd5ad5be41dd370e1ee4657b4,RS,porto alegre,2017-09-29 11:24:09,2017-09,2017,9,Friday,11,1.0,96.99,16.44,113.43,113.43,boleto,1.0,sports_leisure,5.0,6.0,-19.0,True,PR
